Power_Target_W,D0,D1,D2,Irms_A,Power_Actual_W,Power_Error_W,Mode
570,0.7100000000000001,0.6900000000000001,0.01,12.696862309247905,570.2500000000001,0.2500000000001137,1
580,0.7000000000000001,0.68,0.01,12.917119615714123,580.75,0.75,1
590,0.72,0.6900000000000001,0.02,13.03463335374903,588.2499999999998,1.7500000000002274,1
600,0.7100000000000001,0.68,0.02,13.255502002313351,599.4999999999998,0.5000000000002274,1
610,0.7000000000000001,0.67,0.02,13.475347861929201,610.25,0.25,1
620,0.6900000000000001,0.66,0.02,13.694037632001253,620.5000000000001,0.5000000000001137,1
630,0.72,0.67,0.01,13.81588382382152,628.2499999999998,1.7500000000002274,1
640,0.7000000000000001,0.66,0.03,14.034618656498411,638.2499999999999,1.7500000000001137,1
650,0.6900000000000001,0.65,0.03,14.252269556109296,648.75,1.25,1
660,0.6900000000000001,0.64,0.01,14.468194283784458,659.7500000000002,0.24999999999977263,1
670,0.68,0.63,0.01,14.682312913842965,669.2500000000001,0.7499999999998863,1
680,0.67,0.62,0.01,14.894612420827425,678.25,1.75,1
690,0.68,0.62,0.01,15.122758098309975,691.2499999999999,1.2499999999998863,1
700,0.7000000000000001,0.63,0.02,15.253688078625443,698.25,1.75,1
710,0.6900000000000001,0.62,0.02,15.465984180344508,708.5,1.5,1
720,0.68,0.61,0.02,15.67604329329737,718.2499999999999,1.7500000000001137,1
730,0.6900000000000001,0.61,0.02,15.905240226625523,729.2500000000002,0.7499999999997726,1
740,0.68,0.6,0.02,16.11298648088967,739.0000000000001,0.9999999999998863,1
750,0.67,0.59,0.02,16.318241326809705,748.2499999999999,1.7500000000001137,1
760,0.68,0.59,0.02,16.547608084956977,759.2499999999999,0.7500000000001137,1
770,0.67,0.5800000000000001,0.02,16.750223879100837,768.4999999999998,1.5000000000002274,1
780,0.68,0.5800000000000001,0.02,16.979644676297948,778.9999999999999,1.0000000000001137,1
790,0.67,0.5700000000000001,0.02,17.179493589742393,788.2499999999999,1.7500000000001137,1
800,0.68,0.5700000000000001,0.02,17.408857898590973,798.2499999999998,1.7500000000002274,1
810,0.64,0.55,0.05,17.684359261788366,808.2499999999999,1.7500000000001137,1
820,0.64,0.54,0.03,17.875976080576226,818.2499999999998,1.7500000000002274,1
830,0.65,0.54,0.03,18.10494004869021,829.2499999999999,0.7500000000001137,1
840,0.65,0.53,0.01,18.293040001596232,838.25,1.75,1
850,0.66,0.53,0.01,18.522179834817855,848.7500000000002,1.2499999999997726,1
860,0.67,0.53,0.01,18.751186073597225,858.2499999999999,1.7500000000001137,1
870,0.64,0.51,0.02,19.001578881766648,869.25,0.75,1
880,0.65,0.51,0.02,19.23027127560434,879.2499999999999,0.7500000000001137,1
890,0.66,0.51,0.02,19.458716984083683,888.25,1.75,1
900,0.63,0.49,0.03,19.69523260842583,898.7499999999998,1.2500000000002274,1
910,0.64,0.49,0.03,19.92330346185927,908.25,1.75,1
920,0.62,0.47000000000000003,0.02,20.14617416119828,918.2499999999997,1.750000000000341,1
930,0.63,0.47000000000000003,0.02,20.3740439448497,928.25,1.75,1
940,0.62,0.46,0.03,20.649911722975155,939.2499999999997,0.7500000000003411,1
950,0.63,0.46,0.03,20.877192998581013,948.2499999999997,1.750000000000341,1
960,0.6,0.43,0.01,21.114417961036324,958.2500000000003,1.749999999999659,1
970,0.61,0.43,0.01,21.34137950477116,968.7500000000003,1.249999999999659,1
980,0.62,0.43,0.01,21.56827096686241,978.2500000000002,1.7499999999997726,1
990,0.61,0.42000000000000004,0.02,21.827505583552142,988.5000000000002,1.4999999999997726,1
1000,0.6,0.41000000000000003,0.03,22.082225601148085,998.2499999999999,1.7500000000001137,1
