P_req_W,Power_actual_W,D0_opt,D1_opt,D2_opt,Irms_opt_A,Efficiency_%,Mode,Power_error_W,Power_error_%
1350,1445.6709119999998,0.04,0.45999999999999996,0.45999999999999996,9.09852744079127,98.86771102893013,2.0,95.67091199999982,7.0814886750555015
1400,1490.264832,0.04,0.49,0.49,9.045042268270944,98.91396114092319,2.0,90.26483200000007,6.442885938615279
1450,1490.264832,0.04,0.49,0.49,9.045042268270944,98.91396114092319,2.0,40.26483200000007,2.7749711922811904
1500,1490.264832,0.04,0.49,0.49,9.045042268270944,98.91396114092319,2.0,9.73516799999993,0.6485788141239127
1550,1490.264832,0.04,0.49,0.49,9.045042268270944,98.91396114092319,2.0,59.73516799999993,3.8513970341714976
1600,1699.2823680000013,0.94,0.6699999999999999,0.82,11.44634705975864,98.48136866609501,2.0,99.28236800000127,6.201272204872034
1650,1749.248256000001,0.94,0.22,0.33999999999999997,11.396898070281532,98.53664511139283,3.0,99.24825600000099,6.0114025439128405
1700,1799.103600000001,0.94,0.25,0.64,11.34755848122362,98.58874325784383,3.0,99.10360000000105,5.8261963550853055
1750,1849.5116640000012,0.94,0.19,0.52,11.297671890069726,98.63856287363036,3.0,99.51166400000125,5.683133295259923
1800,1898.8142880000012,0.94,0.28,0.43,11.248879303107799,98.68472677644885,3.0,98.81428800000117,5.486634536368749
1850,1949.9961600000013,0.94,0.45999999999999996,0.7,11.198226909019523,98.73017264091844,2.0,99.99616000000128,5.402277687736428
1900,1995.3192000000013,0.94,0.4,0.4,11.153372737148693,98.76846049251724,3.0,95.31920000000127,5.0141609679116925
1950,2048.1592320000013,0.94,0.43,0.58,11.10107933677246,98.81094549199521,2.0,98.15923200000134,5.031226652998531
2000,2090.8292160000015,0.94,0.43,0.45999999999999996,11.058850774962362,98.84367390028947,3.0,90.82921600000145,4.5391912043978735
2050,2144.995776000001,0.94,0.45999999999999996,0.52,11.005244569555762,98.88332693997042,2.0,94.99577600000111,4.631680936128772
2100,2188.8264720000016,0.94,0.49,0.49,10.961867303344095,98.91396116187614,2.0,88.82647200000156,4.227818752974848
2150,2188.8264720000016,0.94,0.49,0.49,10.961867303344095,98.91396116187614,2.0,38.82647200000156,1.8050428637843587
2200,2188.8264720000016,0.94,0.49,0.49,10.961867303344095,98.91396116187614,2.0,11.173527999998441,0.5076568832348224
2250,2188.8264720000016,0.94,0.49,0.49,10.961867303344095,98.91396116187614,2.0,61.17352799999844,2.7176156374943776
2300,2399.506578,0.06999999999999999,0.49,0.61,11.893969960591857,98.83461130880308,2.0,99.50657799999999,4.324492742285963
2350,2438.35956,0.06999999999999999,0.45999999999999996,0.55,11.858180329208727,98.8597816865515,2.0,88.35955999999987,3.75838196512122
2400,2488.3771919999995,0.06999999999999999,0.45999999999999996,0.49,11.812106320991365,98.89101586748461,2.0,88.37719199999947,3.680849312786317
2450,2526.4645979999996,0.06999999999999999,0.49,0.49,11.777021904019724,98.91396116784985,2.0,76.46459799999957,3.1197306405548577
