D0,D1,D2,Power_W,Irms_A,Efficiency_%,Mode
0.01,0.06999999999999999,0.7,274.17852,4.852549167694284,98.31134784190556,2
0.01,0.06999999999999999,0.73,269.608878,4.863343305117464,98.27570362321997,2
0.01,0.06999999999999999,0.76,265.039236,4.874137442540643,98.23884051187144,2
0.01,0.06999999999999999,0.79,260.469594,4.884931579963823,98.20069581914706,2
0.01,0.06999999999999999,0.82,255.899952,4.895725717387002,98.16120248252295,2
0.01,0.06999999999999999,0.85,251.33031,4.906519854810182,98.12028867743997,2
0.01,0.06999999999999999,0.88,246.760668,4.91731399223336,98.07787738698093,2
0.01,0.06999999999999999,0.9099999999999999,242.19102600000002,4.9281081296565405,98.0338859240256,2
0.01,0.06999999999999999,0.94,237.621384,4.938902267079719,97.98822539964557,2
0.01,0.06999999999999999,0.97,233.05174200000002,4.949696404502899,97.94080013054823,2
0.01,0.09999999999999999,0.01,234.40032000000002,4.946510873501154,97.95498562298903,1
0.01,0.09999999999999999,0.04,239.05728000000002,4.935510478674984,98.00275856254447,1
0.01,0.09999999999999999,0.06999999999999999,243.71424000000005,4.924510083848814,98.04873067286908,1
0.01,0.09999999999999999,0.09999999999999999,248.37120000000004,4.913509689022644,98.09300082965902,2
0.01,0.09999999999999999,0.13,253.02815999999999,4.902509294196473,98.13566080028231,2
0.01,0.09999999999999999,0.16,257.68512000000004,4.8915088993703035,98.17679587128666,2
0.01,0.09999999999999999,0.19,262.34208,4.880508504544133,98.21648541058666,2
0.01,0.09999999999999999,0.22,266.99904000000004,4.869508109717963,98.25480337212753,2
0.01,0.09999999999999999,0.25,271.656,4.858507714891793,98.29181874977772,2
0.01,0.09999999999999999,0.28,276.31296000000003,4.847507320065622,98.32759598631029,2
0.01,0.09999999999999999,0.31,280.96992,4.836506925239452,98.36219534257438,2
0.01,0.09999999999999999,0.33999999999999997,285.62687999999997,4.825506530413283,98.39567323130477,2
0.01,0.09999999999999999,0.37,290.28384000000005,4.814506135587113,98.42808251945947,2
0.01,0.09999999999999999,0.4,294.94079999999997,4.803505740760943,98.45947280249364,2
0.01,0.09999999999999999,0.43,299.59776,4.792505345934773,98.48989065356234,2
0.01,0.09999999999999999,0.45999999999999996,304.25472,4.781504951108602,98.51937985028609,2
